# PyPlc Ver3 Circuit Data
# Format: row,col,device_type,address,state
# Created: 2025-08-03 Fixed Self-Holding Circuit
# 
# 修正点: B接点の正しい使用方法
# B接点は初期状態でOFF(False)の時に電気を通す
# STOPボタンが押されていない時は通電状態
#
# 正しい自己保持回路:
# 行1: START接点(A) OR 自己保持接点(A) AND STOP接点(B) → コイル
#
row,col,device_type,address,state
1,1,CONTACT_A,X001,False
1,2,LINK_HORZ,WIRE,False
1,3,LINK_FROM_DOWN,MERGE,False
1,4,CONTACT_B,X002,False
1,5,LINK_HORZ,WIRE,False
1,6,LINK_HORZ,WIRE,False
1,7,LINK_HORZ,WIRE,False
1,8,LINK_HORZ,WIRE,False
1,9,LINK_HORZ,WIRE,False
1,10,LINK_HORZ,WIRE,False
1,11,LINK_HORZ,WIRE,False
1,12,LINK_HORZ,WIRE,False
1,13,LINK_HORZ,WIRE,False
1,14,LINK_HORZ,WIRE,False
1,15,LINK_HORZ,WIRE,False
1,16,LINK_HORZ,WIRE,False
1,17,LINK_HORZ,WIRE,False
1,18,COIL_STD,Y001,False
2,1,CONTACT_A,Y001,False
2,2,LINK_HORZ,WIRE,False
2,3,LINK_TO_UP,UP_LINK,False
