# PyPlc Ver3 Circuit Data (Extended Format)
# Format: row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
# Created: 2025-08-10 09:19:30
row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
0,1,CONTACT_A,X001,False,0,0,False,False
0,2,LINK_HORZ,,False,0,0,False,False
0,3,CONTACT_B,T002,False,0,0,False,False
0,4,LINK_HORZ,,False,0,0,False,False
0,5,CONTACT_B,M002,False,0,0,False,False
0,6,LINK_HORZ,,False,0,0,False,False
0,7,LINK_HORZ,,False,0,0,False,False
0,8,LINK_HORZ,,False,0,0,False,False
0,9,LINK_HORZ,,False,0,0,False,False
0,10,LINK_HORZ,,False,0,0,False,False
0,11,LINK_HORZ,,False,0,0,False,False
0,12,LINK_HORZ,,False,0,0,False,False
0,13,LINK_HORZ,,False,0,0,False,False
0,14,LINK_HORZ,,False,0,0,False,False
0,15,LINK_HORZ,,False,0,0,False,False
0,16,LINK_HORZ,,False,0,0,False,False
0,17,LINK_HORZ,,False,0,0,False,False
0,18,TIMER_TON,T001,False,2000,0,False,False
2,1,CONTACT_A,T001,False,0,0,False,False
2,2,LINK_HORZ,,False,0,0,False,False
2,3,LINK_HORZ,,False,0,0,False,False
2,4,LINK_HORZ,,False,0,0,False,False
2,5,LINK_HORZ,,False,0,0,False,False
2,6,LINK_HORZ,,False,0,0,False,False
2,7,LINK_HORZ,,False,0,0,False,False
2,8,LINK_HORZ,,False,0,0,False,False
2,9,LINK_HORZ,,False,0,0,False,False
2,10,LINK_HORZ,,False,0,0,False,False
2,11,LINK_HORZ,,False,0,0,False,False
2,12,LINK_HORZ,,False,0,0,False,False
2,13,LINK_BRANCH,,False,0,0,False,False
2,14,LINK_HORZ,,False,0,0,False,False
2,15,LINK_HORZ,,False,0,0,False,False
2,16,LINK_HORZ,,False,0,0,False,False
2,17,LINK_HORZ,,False,0,0,False,False
2,18,TIMER_TON,T002,False,2500,0,False,False
3,13,LINK_BRANCH,,False,0,0,False,False
3,14,LINK_HORZ,,False,0,0,False,False
3,15,LINK_HORZ,,False,0,0,False,False
3,16,LINK_HORZ,,False,0,0,False,False
3,17,LINK_HORZ,,False,0,0,False,False
3,18,COIL_STD,M001,False,0,0,False,False
5,1,CONTACT_A,T001,False,0,0,False,False
5,2,LINK_HORZ,,False,0,0,False,False
5,3,LINK_HORZ,,False,0,0,False,False
5,4,LINK_HORZ,,False,0,0,False,False
5,5,LINK_HORZ,,False,0,0,False,False
5,6,LINK_HORZ,,False,0,0,False,False
5,7,LINK_HORZ,,False,0,0,False,False
5,8,LINK_HORZ,,False,0,0,False,False
5,9,LINK_HORZ,,False,0,0,False,False
5,10,LINK_HORZ,,False,0,0,False,False
5,11,LINK_HORZ,,False,0,0,False,False
5,12,LINK_HORZ,,False,0,0,False,False
5,13,LINK_HORZ,,False,0,0,False,False
5,14,LINK_HORZ,,False,0,0,False,False
5,15,LINK_HORZ,,False,0,0,False,False
5,16,LINK_HORZ,,False,0,0,False,False
5,17,LINK_HORZ,,False,0,0,False,False
5,18,COUNTER_CTU,C001,False,10,0,False,False
7,1,CONTACT_A,C001,False,0,0,False,False
7,2,LINK_HORZ,,False,0,0,False,False
7,3,LINK_HORZ,,False,0,0,False,False
7,4,LINK_HORZ,,False,0,0,False,False
7,5,LINK_HORZ,,False,0,0,False,False
7,6,LINK_HORZ,,False,0,0,False,False
7,7,LINK_HORZ,,False,0,0,False,False
7,8,LINK_HORZ,,False,0,0,False,False
7,9,LINK_HORZ,,False,0,0,False,False
7,10,LINK_HORZ,,False,0,0,False,False
7,11,LINK_HORZ,,False,0,0,False,False
7,12,LINK_HORZ,,False,0,0,False,False
7,13,LINK_HORZ,,False,0,0,False,False
7,14,LINK_HORZ,,False,0,0,False,False
7,15,LINK_HORZ,,False,0,0,False,False
7,16,LINK_HORZ,,False,0,0,False,False
7,17,LINK_HORZ,,False,0,0,False,False
7,18,COIL_STD,M002,False,0,0,False,False
