# PyPlc Ver3 Circuit Data (Extended Format)
# Format: row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
# Created: 2025-08-08 22:20:23
row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
2,4,LINK_HORZ,,False,0,0,False,False
2,5,LINK_HORZ,,False,0,0,False,False
2,6,LINK_HORZ,,False,0,0,False,False
2,7,LINK_HORZ,,False,0,0,False,False
2,8,LINK_HORZ,,False,0,0,False,False
2,9,LINK_HORZ,,False,0,0,False,False
2,10,LINK_HORZ,,False,0,0,False,False
2,11,LINK_HORZ,,False,0,0,False,False
2,12,LINK_HORZ,,False,0,0,False,False
2,13,LINK_HORZ,,False,0,0,False,False
2,14,LINK_HORZ,,False,0,0,False,False
3,3,LINK_HORZ,,False,0,0,False,False
3,4,LINK_HORZ,,False,0,0,False,False
3,5,LINK_HORZ,,False,0,0,False,False
3,6,LINK_HORZ,,False,0,0,False,False
3,7,LINK_HORZ,,False,0,0,False,False
3,8,LINK_HORZ,,False,0,0,False,False
3,9,LINK_HORZ,,False,0,0,False,False
3,10,LINK_HORZ,,False,0,0,False,False
3,11,LINK_HORZ,,False,0,0,False,False
3,12,LINK_HORZ,,False,0,0,False,False
3,13,LINK_HORZ,,False,0,0,False,False
3,14,LINK_HORZ,,False,0,0,False,False
3,15,LINK_HORZ,,False,0,0,False,False
3,16,LINK_HORZ,,False,0,0,False,False
3,17,LINK_HORZ,,False,0,0,False,False
